Year,Rk,Player,Team,GP,W,L,Min,Dist_FT,Dist_Miles,Dist_Miles_off,Dist_Miles_def,avg_speed,avg_speed_off,avg_speed_def
2018,,Bradley Beal,WAS,82,43,39,36.3,13249,2.51,1.34,1.17,4.17,4.43,3.91
2018,,Bojan Bogdanovic,IND,80,47,33,30.8,11496.7,2.18,1.13,1.05,4.26,4.5,4.03
2018,,Bogdan Bogdanovic,SAC,78,26,52,27.9,10788.6,2.04,1.12,0.92,4.43,4.79,4.06
2018,,Bobby Portis,CHI,73,25,48,22.5,8652.7,1.64,0.85,0.79,4.39,4.82,4
2018,,Bobby Brown,HOU,20,17,3,5.8,2039.1,0.39,0.22,0.17,4.03,4.4,3.72
2018,,Boban Marjanovic,LAC,39,18,21,8.7,3167.1,0.6,0.31,0.29,4.18,4.45,3.92
2018,,Blake Griffin,DET,58,28,30,34,11369.6,2.15,1.16,1,3.83,4.08,3.56
2018,,Bismack Biyombo,ORL,82,25,57,18.2,6682.6,1.27,0.67,0.6,4.2,4.42,3.99
2018,,Ben Simmons,PHI,80,51,29,33.8,13367,2.53,1.38,1.15,4.51,5.12,3.95
2018,,Ben Moore,IND,2,1,1,4.6,2011.5,0.38,0.2,0.18,5.18,4.58,5.99
2018,,Ben McLemore,MEM,56,7,49,19.5,7865.2,1.49,0.8,0.69,4.64,4.97,4.32
2018,,Bam Adebayo,MIA,68,33,35,19.8,7173.1,1.36,0.71,0.65,4.13,4.17,4.07
2018,,Avery Bradley,LAC,46,22,24,31.1,12267.7,2.32,1.22,1.11,4.5,4.69,4.31
2018,,Austin Rivers,LAC,61,30,31,33.7,12680.2,2.4,1.31,1.09,4.29,4.6,3.96
2018,,Arron Afflalo,ORL,53,16,37,12.9,4728.1,0.9,0.47,0.42,4.21,4.36,4.03
2018,,Aron Baynes,BOS,78,51,27,18.4,6629.2,1.26,0.64,0.61,4.11,4.23,4
2018,,Antonius Cleveland,ATL,17,7,10,7.2,2782,0.53,0.28,0.25,4.43,4.53,4.32
2018,,Antonio Blakeney,CHI,19,3,16,16.5,6443.4,1.22,0.62,0.6,4.49,4.95,4.09
2018,,Anthony Tolliver,DET,79,37,42,22.2,8857.7,1.68,0.95,0.73,4.55,5.18,3.92
2018,,Anthony Davis,NOP,75,45,30,36.4,12628,2.39,1.24,1.15,3.96,4.31,3.64
2018,,Anthony Brown,MIN,1,0,1,3.7,1342,0.25,0.11,0.14,4.8,4.57,2.47
2018,,Ante Zizic,CLE,32,21,11,6.7,2531.6,0.48,0.26,0.22,4.3,4.44,4.14
2018,,Andrew Wiggins,MIN,82,47,35,36.3,12792.9,2.42,1.28,1.14,4.01,4.1,3.92
2018,,Andrew White III,ATL,15,1,14,13.9,5393.3,1.02,0.56,0.46,4.58,4.9,4.29
2018,,Andrew Harrison,MEM,56,17,39,23.7,8787.9,1.66,0.91,0.76,4.24,4.45,4.01
2018,,Andrew Bogut,LAL,24,7,17,9,3124.8,0.59,0.31,0.28,3.96,4.14,3.76
2018,,Andre Roberson,OKC,37,24,13,26.6,10624.6,2.01,0.97,1.04,4.56,4.61,4.51
2018,,Andre Ingram,LAL,2,1,1,32.1,12495.5,2.37,1.27,1.1,4.4,5,3.87
2018,,Andre Iguodala,GSW,64,46,18,25.4,9484.8,1.8,0.94,0.86,4.27,4.64,3.92
2018,,Andre Drummond,DET,78,37,41,33.6,11952.5,2.26,1.15,1.12,4.06,4.12,4.01
2018,,Amir Johnson,PHI,74,47,27,15.8,5810.1,1.1,0.56,0.54,4.19,4.42,3.98
2018,,Allen Crabbe,BKN,73,24,49,29.2,11021.4,2.09,1.13,0.96,4.3,4.57,4.02
2018,,Alfonzo McKinnie,TOR,14,13,1,3.8,1568.4,0.3,0.15,0.15,4.73,4.87,4.6
2018,,Alex Poythress,IND,25,10,15,4.2,1631.7,0.31,0.16,0.14,4.45,4.61,4.28
2018,,Alex Len,PHX,69,20,49,20.2,7448.6,1.41,0.76,0.65,4.2,4.52,3.88
2018,,Alex Caruso,LAL,37,16,21,15.2,6016.7,1.14,0.59,0.55,4.51,4.95,4.11
2018,,Alex Abrines,OKC,73,42,31,15.1,5783.9,1.1,0.55,0.54,4.36,4.48,4.25
2018,,Alec Peters,PHX,20,2,18,11.2,4426.6,0.84,0.47,0.37,4.5,5.15,3.88
2018,,Alec Burks,UTA,64,37,27,16.5,6187,1.17,0.62,0.55,4.27,4.43,4.11
2018,,Alan Williams,PHX,5,1,4,14.1,5076.2,0.96,0.52,0.44,4.1,4.3,3.9
2018,,Al-Farouq Aminu,POR,69,40,29,30,11148.5,2.11,1.14,0.97,4.23,4.45,3.99
2018,,Al Jefferson,IND,36,17,19,13.4,4732.9,0.9,0.48,0.41,4.02,4.12,3.89
2018,,Al Horford,BOS,69,44,25,31.5,11146.4,2.11,1.13,0.99,4.03,4.31,3.76
2018,,Adreian Payne,ORL,5,0,5,8.5,3115.2,0.59,0.3,0.29,4.24,4.53,3.72
2018,,Abdel Nader,BOS,47,32,15,11.1,4375.9,0.83,0.44,0.38,4.52,4.61,4.41
2018,,Aaron Harrison,DAL,9,2,7,25.9,9738.8,1.84,1,0.84,4.29,4.52,4.04
2018,,Aaron Gordon,ORL,58,19,39,32.9,12792,2.42,1.35,1.07,4.46,5.05,3.88
2018,,Aaron Brooks,MIN,32,19,13,5.9,2240.9,0.42,0.23,0.2,4.32,4.46,4.17
